,Category ID,Category Name,Number,Name,Weight (in Grams),Dimensions
610,238,"Minifigure, Head",3626a,"Minifigure, Head (Plain) - Solid Stud",0.57,1.26 x 1.26 x 1
611,238,"Minifigure, Head",3626b,"Minifigure, Head (Plain) - Blocked Open Stud",0.54,1.26 x 1.26 x 1
612,238,"Minifigure, Head",3626bp01,"Minifigure, Head Standard Grin Pattern - Blocked Open Stud",0.56,? x ? x ?
613,238,"Minifigure, Head",3626bp02,"Minifigure, Head Female with Red Lips, Eyelashes (Standard Woman Pattern) - Blocked Open Stud",0.54,? x ? x ?
614,238,"Minifigure, Head",3626bp03,"Minifigure, Head Moustache Pointed with Standard Grin Pattern - Blocked Open Stud",0.54,? x ? x ?
615,238,"Minifigure, Head",3626bp04,"Minifigure, Head Glasses with Black Sunglasses and Standard Grin Pattern - Blocked Open Stud",0.54,? x ? x ?
616,238,"Minifigure, Head",3626bp05,"Minifigure, Head Male Standard Grin and Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
617,238,"Minifigure, Head",3626bp63,"Minifigure, Head Alien with Robot Silver Pattern - Blocked Open Stud",0.54,? x ? x ?
973,238,"Minifigure, Head",3626bpb0004,"Minifigure, Head (Without Face) Yellow and Black Fish Pattern - Blocked Open Stud",0.54,? x ? x ?
1569,238,"Minifigure, Head",3626bpb0001,"Minifigure, Head Skull Standard Pattern - Blocked Open Stud",0.54,? x ? x ?
2111,238,"Minifigure, Head",3626bpx99,"Minifigure, Head Alien with Ghostly Gray Face, Eyebrows, Pupils Pattern (HP Peeves) - Blocked Open Stud",0.54,? x ? x ?
2161,238,"Minifigure, Head",3626bpb0002,"Minifigure, Head Male HP Snape with Arched Eyebrow and Squint Pattern - Blocked Open Stud",0.54,? x ? x ?
2162,238,"Minifigure, Head",3626bpb0003,"Minifigure, Head Glasses with HP Dumbledore Pattern - Blocked Open Stud",0.54,? x ? x ?
2163,238,"Minifigure, Head",3626bpx91,"Minifigure, Head Male HP Hagrid Pattern - Blocked Open Stud",0.54,? x ? x ?
2164,238,"Minifigure, Head",3626bpx94,"Minifigure, Head Glasses with Lightning Bolt on Forehead Pattern (HP Harry) - Blocked Open Stud",0.54,? x ? x ?
2165,238,"Minifigure, Head",3626bpb0006,"Minifigure, Head Female with HP Hermione Pattern - Blocked Open Stud",0.54,? x ? x ?
2166,238,"Minifigure, Head",3626bpx118,"Minifigure, Head Dual Sided HP Quirrell / Voldemort Pattern - Blocked Open Stud",0.54,? x ? x ?
2167,238,"Minifigure, Head",3626bpb0009,"Minifigure, Head Male HP Ron with Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
3080,238,"Minifigure, Head",3626apx2,"Minifigure, Head Female with Messy Black Hair, Thick Red Lips Pattern - Solid Stud",0.57,? x ? x ?
3081,238,"Minifigure, Head",3626bps2,"Minifigure, Head Male SW Brown Eyebrows and Chin Dimple Pattern - Blocked Open Stud",0.54,? x ? x ?
3082,238,"Minifigure, Head",3626bpx10,"Minifigure, Head Male Sideburns and Green Bandana Pattern - Blocked Open Stud",0.54,? x ? x ?
3083,238,"Minifigure, Head",3626bpx11,"Minifigure, Head Moustache Thick Flat and Short Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3084,238,"Minifigure, Head",3626bpx12,"Minifigure, Head Male Brown Bangs and Long Brown Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3085,238,"Minifigure, Head",3626bpx13,"Minifigure, Head Moustache, Stubble and Messy Hair Black Pattern - Blocked Open Stud",0.54,? x ? x ?
3086,238,"Minifigure, Head",3626bpx14,"Minifigure, Head Glasses with Gray Eyebrows, Beard and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3087,238,"Minifigure, Head",3626bpx15,"Minifigure, Head Beard with Angry Brown Eyebrows, Moustache and Blue Bandana Pattern - Blocked Open Stud",0.54,? x ? x ?
3088,238,"Minifigure, Head",3626bpx16,"Minifigure, Head Male Smile, Black Eyebrows, Short Bangs and Long Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3089,238,"Minifigure, Head",3626bpx17,"Minifigure, Head Male Brown Bangs Pattern - Blocked Open Stud",0.54,? x ? x ?
3090,238,"Minifigure, Head",3626bpx18,"Minifigure, Head Glasses with Gray Balding Hair Pattern - Blocked Open Stud",0.54,? x ? x ?
3091,238,"Minifigure, Head",3626bpx19,"Minifigure, Head Male Bangs and Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
3092,238,"Minifigure, Head",3626bps5,"Minifigure, Head Male Smirk and Brown Eyebrows Pattern (SW Han Solo) - Blocked Open Stud",0.54,? x ? x ?
3093,238,"Minifigure, Head",3626bpx20,"Minifigure, Head Female with Hair Framed Face, Eyebrows and 1 Tooth in Mouth Pattern - Blocked Open Stud",0.54,? x ? x ?
3094,238,"Minifigure, Head",3626bpx22,"Minifigure, Head Beard Vertical Lines with Messy Hair, Moustache Red Pattern - Blocked Open Stud",0.54,? x ? x ?
3095,238,"Minifigure, Head",3626bpx23,"Minifigure, Head Moustache Curly, Spiky Beard under Mouth Pattern - Blocked Open Stud",0.54,? x ? x ?
3096,238,"Minifigure, Head",3626bpx24,"Minifigure, Head Glasses with Blue Glasses and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3097,238,"Minifigure, Head",3626bpx25,"Minifigure, Head Male Brown Bangs and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3098,238,"Minifigure, Head",3626bpx26,"Minifigure, Head Male Brown Bangs and Line Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3099,238,"Minifigure, Head",3626bpx27,"Minifigure, Head Male White Bangs Pattern - Blocked Open Stud",0.54,? x ? x ?
3100,238,"Minifigure, Head",3626bpx29,"Minifigure, Head Moustache Angry, White Teeth and Gold Tooth Pattern - Blocked Open Stud",0.54,? x ? x ?
3101,238,"Minifigure, Head",3626bpx3,"Minifigure, Head Female with Red Lips, Eyelashes, Gray Headband with Red Circle Pattern - Blocked Open Stud",0.54,? x ? x ?
3102,238,"Minifigure, Head",3626bpx30,"Minifigure, Head Moustache Black Angry and Missing Teeth Pattern - Blocked Open Stud",0.54,? x ? x ?
3103,238,"Minifigure, Head",3626bps9,"Minifigure, Head Beard with Brown Eyebrows, Moustache and Beard, Black Chin Dimple Pattern - Blocked Open Stud",0.54,? x ? x ?
3104,238,"Minifigure, Head",3626bpx32,"Minifigure, Head Moustache Brown Hair, Glasses on Forehead, Raised Eyebrow Pattern - Blocked Open Stud",0.54,? x ? x ?
3105,238,"Minifigure, Head",3626bpx33,"Minifigure, Head Male Red Hair with Black Outline, Stubble Pattern - Blocked Open Stud",0.54,? x ? x ?
3106,238,"Minifigure, Head",3626bpx34,"Minifigure, Head Male Angry Black Eyebrows, Brown Wrinkles Pattern - Blocked Open Stud",0.54,? x ? x ?
3107,238,"Minifigure, Head",3626bpa3,"Minifigure, Head Moustache Black Bangs, Striped Sideburns Pattern - Blocked Open Stud",0.54,? x ? x ?
3108,238,"Minifigure, Head",3626bpa1,"Minifigure, Head Glasses with Round Glasses, Gray Lines Beard and Moustache Pattern - Blocked Open Stud",0.54,? x ? x ?
3109,238,"Minifigure, Head",3626bp69,"Minifigure, Head Male Headset Over Smile, Red-Brown Hair & Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3110,238,"Minifigure, Head",3626bpa6,"Minifigure, Head Female with Brown Hair, Eyelashes and Red Lips Pattern - Blocked Open Stud",0.54,? x ? x ?
3111,238,"Minifigure, Head",3626bpx39,"Minifigure, Head Moustache Long, Gray Headband with Red Dot Pattern - Blocked Open Stud",0.54,? x ? x ?
3112,238,"Minifigure, Head",3626bpx4,"Minifigure, Head Moustache White Hair, Eyebrows Pattern - Blocked Open Stud",0.54,? x ? x ?
3113,238,"Minifigure, Head",3626bpx40,"Minifigure, Head Male Angry Eyebrows and 1 Red Eye Pattern - Blocked Open Stud",0.54,? x ? x ?
3114,238,"Minifigure, Head",3626bp06,"Minifigure, Head Male Eyebrows and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3115,238,"Minifigure, Head",3626bpx42,"Minifigure, Head Female with Red Lips and Headset Pattern - Blocked Open Stud",0.54,? x ? x ?
3116,238,"Minifigure, Head",3626bpx44,"Minifigure, Head Male Messy Orange Hair, Smile Pattern - Blocked Open Stud",0.54,? x ? x ?
3117,238,"Minifigure, Head",3626bpx45,"Minifigure, Head Brown Eyebrows and Freckles Pattern - Blocked Open Stud",0.54,? x ? x ?
